模型,外折,trial,内层CV_AUC
ExtraTrees,2,14,0.7848917029855228
ExtraTrees,2,15,0.7860250942901725
ExtraTrees,2,16,0.7874272248806874
ExtraTrees,2,17,0.7920063513883321
ExtraTrees,2,18,0.789973594701815
ExtraTrees,2,19,0.7865170115728567
ExtraTrees,2,20,0.7843911073620679
ExtraTrees,3,1,0.7919043808842766
ExtraTrees,3,2,0.7966698024404651
ExtraTrees,3,3,0.7915034415406715
ExtraTrees,3,4,0.7891153067995957
ExtraTrees,3,5,0.7814783669214048
ExtraTrees,3,6,0.7959720638425031
ExtraTrees,3,7,0.7811705751020718
ExtraTrees,3,8,0.7958485421255338
ExtraTrees,3,9,0.7995932461680786
ExtraTrees,3,10,0.7931417676391614
ExtraTrees,3,11,0.7858146445264836
ExtraTrees,3,12,0.7961605284762395
ExtraTrees,3,13,0.7952741806055282
ExtraTrees,3,14,0.7921926464368757
ExtraTrees,3,15,0.7841742934818141
ExtraTrees,3,16,0.7981954547479492
ExtraTrees,3,17,0.7981954547479492
ExtraTrees,3,18,0.7995932461680786
ExtraTrees,3,19,0.7972593510568194
ExtraTrees,3,20,0.7817449366220773
ExtraTrees,4,1,0.783430993594806
ExtraTrees,4,2,0.7810189934166107
ExtraTrees,4,3,0.7785983148976449
ExtraTrees,4,4,0.7763553977254647
ExtraTrees,4,5,0.7840095496461842
ExtraTrees,4,6,0.7754777281955242
ExtraTrees,4,7,0.7858364850174232
ExtraTrees,4,8,0.7738524196081903
ExtraTrees,4,9,0.7777358324640528
ExtraTrees,4,10,0.7846922457868102
ExtraTrees,4,11,0.779064197158017
ExtraTrees,4,12,0.7849262717095926
ExtraTrees,4,13,0.779064197158017
ExtraTrees,4,14,0.781372201885977
ExtraTrees,4,15,0.7849262717095926
ExtraTrees,4,16,0.7821393672101044
ExtraTrees,4,17,0.7858364850174232
ExtraTrees,4,18,0.7840095496461842
ExtraTrees,4,19,0.7871389593280882
ExtraTrees,4,20,0.7871389593280882
ExtraTrees,5,1,0.78338543230576
ExtraTrees,5,2,0.7874292498268671
ExtraTrees,5,3,0.7753236876468449
ExtraTrees,5,4,0.780286541455566
ExtraTrees,5,5,0.7801997580478593
ExtraTrees,5,6,0.775880692485309
ExtraTrees,5,7,0.76936861021001
ExtraTrees,5,8,0.7820006583967865
ExtraTrees,5,9,0.7750268883924877
ExtraTrees,5,10,0.7873881723472191
ExtraTrees,5,11,0.7808542495809808
ExtraTrees,5,12,0.7897763070882952
ExtraTrees,5,13,0.7911610809972686
ExtraTrees,5,14,0.7859383108824657
ExtraTrees,5,15,0.7864432456763059
ExtraTrees,5,16,0.7910180330135654
ExtraTrees,5,17,0.7853033456160783
ExtraTrees,5,18,0.7926715462084041
ExtraTrees,5,19,0.7804836844300732
ExtraTrees,5,20,0.7850129104782866
